artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Pity Party (Girls Club),I cant commit to anything,I cant commit to anything,1yrqu7y4N2e3Ov8ZKjdjVY,0.66,0.538,8,-8.068,1,0.0503,0.93,0.207,0.289,96.912,102545,4
Kamal.,essential,essential,5furV6z87xBEymy1nXFAXu,0.435,0.384,7,-11.127,1,0.054,0.00194,0.179,0.205,160.037,162656,4
Era,Tell Me,Tell Me,0WUEI3wb6ei1gRvCJChfxA,0.496,0.258,3,-10.709,1,0.0465,7.2e-05,0.323,0.24,117.654,229158,3
Still Woozy,Kenny,Kenny,6FmnMoph4yx7zjhuBcrHDv,0.743,0.49,1,-10.845,1,0.0377,0.0393,0.108,0.394,120.028,194133,4
Rex Orange County,Pony,It's Not The Same Anymore,7vRia9rlEuTDQxkfXIKySi,0.666,0.317,5,-10.644,1,0.0327,3.74e-05,0.111,0.359,117.676,386200,4
GRMLN,American Boy,Revolution,6PSETX7f4DViggv0o56sVo,0.538,0.27,4,-10.199,0,0.0297,0.000206,0.126,0.412,110.025,134192,4
Nathan Archie,hurt me enough,hurt me enough,46VWMQxwA5cACMY28UlIPs,0.652,0.551,5,-8.018,0,0.147,4.24e-05,0.116,0.343,79.52,186032,4
bixby,are you sleeping alone again?,are you sleeping alone again?,6abYlQGJf3JvvvZHfBryo4,0.522,0.593,10,-7.324,1,0.0275,0.0,0.173,0.268,139.999,126857,4
EKKSTACY,i walk this earth all by myself,i walk this earth all by myself,5a8QUc4ubHJqQm7vzs2YhA,0.595,0.588,10,-11.313,1,0.0624,0.781,0.113,0.518,166.061,145634,4
Sky McCreery,Insane,Insane,3mLFCocZgUvih60frphM6l,0.806,0.405,6,-11.277,0,0.0727,0.0915,0.104,0.329,119.961,166390,4
Cottonwood Firing Squad,you missed the best part,hospital beach,7t7QJFQLHJWCiHBswHnbzZ,0.636,0.753,7,-8.185,1,0.0318,0.658,0.301,0.714,125.906,124743,4
Ryan Hemsworth,Elsewhere,Think About U (feat. Joji),4yakjUoss5rjOdPWQ8mW6Q,0.324,0.353,0,-10.119,1,0.0335,0.139,0.262,0.0569,121.788,168975,4
Tucker Rivera,West Coast City,West Coast City,374x1VaWkYVtPHVKLxTDR1,0.607,0.199,10,-17.95,1,0.0644,0.000876,0.146,0.11,139.835,195429,4
Laica,Forever,Close to Me,4jPr49jXRJHftXlwTEA2w4,0.642,0.489,7,-6.534,1,0.0335,0.0,0.11,0.163,116.851,211746,3
Crisaunt,Emotionless,Emotionless,4WhpjIKKkQlFmbsYQIuJxO,0.701,0.508,6,-9.391,0,0.0455,0.00526,0.129,0.539,83.974,148402,4
BERWYN,TAPE 2/FOMALHAUT,ANSWERS,6bm9OoERWQ8zfnIcN0pykg,0.539,0.396,10,-8.789,0,0.15,0.000267,0.127,0.659,99.349,245536,4
Zaia,VERY ALONE,VERY ALONE,1LCgehdvJ91SgSRuI7Ez90,0.928,0.559,2,-12.164,1,0.0395,0.0401,0.0963,0.962,103.017,131147,4
Deb Never,Sorry,Sorry,7ufvTDIjfqAhYZLXUX0lrF,0.828,0.325,0,-8.805,1,0.0675,1.65e-06,0.354,0.131,130.066,180270,4
dexter,Closing the Door on Us,Closing the Door on Us,0QiNYxQRmZgkkBf023sPAz,0.553,0.224,11,-12.492,0,0.0358,7.24e-05,0.112,0.392,160.775,135339,4
spill tab,Cotton Candy,Cotton Candy,4FF0tP9mkoiFKLiXFeXm0q,0.686,0.456,0,-7.81,1,0.234,8.93e-06,0.357,0.569,96.889,93871,3
gigi,Sometimes (Backwood),Sometimes (Backwood),1ElGmhauttS9p7LwmHG9uM,0.41,0.174,3,-11.405,1,0.0328,0.00197,0.114,0.0694,105.292,153000,4
Lizzy McAlpine,Give Me A Minute,Pancakes for Dinner,1WThEmIxSyaqG6fVsyCmcL,0.753,0.266,11,-11.453,1,0.0478,0.0,0.11,0.321,142.026,235035,4
Kamal.,lose,lose,74NGwGnDUHnsHWM54qAEqV,0.406,0.196,2,-13.202,1,0.0347,0.0,0.119,0.107,127.719,176367,4
Justin Nozuka,Said I Don't Cry,Said I Don't Cry,4HWOthsW4aVnNF4Ncop3zo,0.52,0.353,1,-10.002,0,0.0495,5.08e-05,0.146,0.216,113.237,211392,4
Brevin Kim,It Was Nice To See You,It Was Nice To See You,0OBnGFOQxVOwh8d3xKCn98,0.524,0.408,2,-10.774,1,0.0273,0.011,0.106,0.497,129.005,200926,4
Jack Gray,Selfish,Selfish,3fTd1AN7VM33g7OElNPJGb,0.645,0.327,5,-11.015,1,0.0567,0.0,0.212,0.455,95.004,177899,4
Saint Harison,homies,homies,3ocupZmiN2ZqQjTVntVtLv,0.646,0.347,5,-5.168,1,0.0327,0.0,0.116,0.422,91.578,225068,3
Felly,me and my gang,me and my gang,4AQGuktK4SQqVuSR7XQH79,0.76,0.395,11,-8.563,1,0.0579,0.0,0.455,0.52,93.982,138830,4
Lontalius,Someone Will Be There For You,I Walked Right Into It,5maC2QGPrm1E4WYMwwpDj7,0.413,0.258,9,-11.946,1,0.0286,0.0345,0.0969,0.24,131.371,298312,4
brakence,punk2,rosier/punk2,5fr1gqzvwrPrGS76ltBsFK,0.521,0.254,2,-13.554,1,0.407,0.0,0.427,0.55,115.65,222493,4
Rachel Chinouriri,Maybe I’m Lonely,Maybe I’m Lonely,3X3cftpXwcSXQM4fC5ihdo,0.514,0.305,1,-11.26,0,0.031,1.58e-05,0.165,0.336,49.534,152141,4
Kamal.,nowhere to hide,nowhere to hide,7xxMS1SNunq6HeBjqiswid,0.721,0.457,1,-8.443,1,0.0408,0.000519,0.161,0.257,90.014,171938,4
sombr,willow,willow,61qLoMpEncPR7n8Ibf8Bhh,0.376,0.424,8,-9.976,0,0.0292,0.00074,0.125,0.136,139.871,212119,3
beabadoobee,Beatopia,Pictures of Us,2VL573wd9nlqXYHaQoFXfV,0.495,0.794,2,-6.712,1,0.0303,0.45,0.117,0.193,120.179,279307,4
Ritt Momney,Not Around,Not Around,1y1RZ1WceXGSr0X7Q6mG0M,0.372,0.43,7,-6.008,0,0.0298,0.000687,0.321,0.555,99.419,160200,3
Jonah Yano,song about the family house,song about the family house,0HyomNQ2XUVRN3B3UTr1VR,0.558,0.0379,11,-21.566,0,0.249,2.58e-05,0.127,0.183,168.484,236032,3
Nick Hakim,Happen,Happen,4TCMDoYMAGRzmvmBjnqUmw,0.648,0.403,7,-7.038,1,0.0301,0.761,0.115,0.265,122.009,253373,4
sombr,weak,weak,1ofVfjaqv1taQ7xsmcYjZc,0.182,0.17,4,-16.218,1,0.0371,0.536,0.0787,0.0397,81.962,238827,3
itssvd,tape for when i'm sad,i don't feel part of the world anymore,11iiMB7TmFTtaXT4YJAltw,0.546,0.179,1,-19.623,0,0.23,0.00211,0.107,0.272,95.037,84177,4
Ethel Cain,Preacher’s Daughter,Hard Times,7JPmhsHbjaDGmTCKBZxVVU,0.492,0.356,10,-10.638,1,0.0259,0.00666,0.274,0.15,106.968,303067,3
Saint Harison,why didn't you call???,why didn't you call???,07c4PaAD3aPavDfZxeHZoY,0.347,0.227,8,-8.954,1,0.0333,1.55e-06,0.11,0.307,169.238,196734,4
remy,i broke my neck when i fell for you (feat. 93FEETOFSMOKE),i broke my neck when i fell for you (feat. 93FEETOFSMOKE),4TnldeUFh2FiVnfl0fCBzY,0.565,0.496,5,-5.432,1,0.0302,0.525,0.15,0.782,79.948,158227,1
Del Water Gap,Alone Together,Alone Together,2lf0nT2QF3AXBuOLGKwLnv,0.577,0.352,7,-9.752,0,0.0322,2.79e-05,0.111,0.354,172.073,205905,4
Yb.,Blackphemy,Blackphemy,5rYBgw7CHL5G4S6UJKOZ5H,0.371,0.449,4,-8.719,1,0.0687,0.0825,0.09,0.279,80.028,204772,4
Ritt Momney,Show Runner 99,Show Runner 99,4G5bnCpOB99DIcOQa6QVYw,0.26,0.465,6,-10.143,1,0.0332,0.00345,0.33,0.315,127.465,206316,5
INNR CIRCLE,Thoughts of the Night,Thoughts of the Night,6b91wpYnMibTzNEFOz2hs0,0.657,0.44,1,-9.227,0,0.0522,7.07e-05,0.22,0.644,91.96,232258,4
Matt Maltese,Mother,Mother,2ItXZP9iAfOtoASybQIOJd,0.556,0.486,3,-7.899,1,0.0267,0.0,0.0963,0.403,79.866,193005,4
Ryan Woods,King of the Basement,how i'm feeling,6I5Y7t6kZTR7U3NvmzGZ1f,0.321,0.311,6,-9.084,1,0.0635,2.54e-06,0.152,0.174,89.635,171000,4
dexter,Maybe the Problem Is Me,Maybe the Problem Is Me,5gPRsdhEoR53H4eSRBXnzh,0.616,0.219,7,-11.807,1,0.087,0.000839,0.125,0.47,147.924,133091,4
Peter McPoland,Slow Down,Slow Down,6nctEN4lXyz9KV7ujHaAKb,0.347,0.634,7,-3.345,1,0.051,0.0,0.842,0.332,126.913,202347,3
Yxngxr1,"emma, u up?","emma, u up?",5Z7WYPOCE6FCbg3NZrYDvh,0.823,0.458,1,-10.91,0,0.31,0.0,0.0677,0.38,159.967,144000,4
Verzache,The Loser,The Loser,0yTGQpPOgcsS8Xqp5bQO58,0.748,0.297,1,-10.613,1,0.132,0.27,0.138,0.114,123.983,131587,4
Lofi Fruits Music,I’ll Keep You Safe,I'll Keep You Safe,6pWpq6uXvH7l83RoaAyZtC,0.666,0.455,9,-9.89,0,0.0585,0.242,0.284,0.254,180.249,126522,4
Hans Williams,All Is Well,All Is Well,1wDSBJSCKxB8qZR6jnfqgt,0.676,0.33,2,-6.92,1,0.0257,0.0,0.133,0.185,77.523,150968,4
dempsey hope,disoriented,disoriented,2DktKzalubu8t5irfO5qOZ,0.318,0.56,6,-6.223,1,0.0539,0.0,0.13,0.422,156.653,168216,3
brakence,punk2,dropout,1Sl3gcmaeiU3vOMPpeM98V,0.752,0.274,1,-11.269,1,0.146,0.0,0.155,0.629,141.039,200923,4
Kid Travis,Jaguar,Jaguar,5TVd5ZGt3IYByz9h6P5tu6,0.733,0.421,0,-6.702,1,0.0298,0.0,0.119,0.416,80.036,193500,4
Cavetown,squares / y 13,squares,0byJI4UB0ibHxUVz5Fz5Ne,0.641,0.154,0,-16.087,1,0.034,0.229,0.101,0.0396,130.056,267031,4
Josh Golden,Violets,Violets,25ndwd0OLtkQLkFBaS9RjT,0.572,0.631,9,-6.152,0,0.0701,0.0,0.451,0.546,95.09,115263,4
Dora Jar,Three Songs,Did I Get It Wrong,3uL7D152nfGyHMbJn5reCy,0.798,0.426,8,-11.365,0,0.034,0.000842,0.101,0.333,120.018,185041,4
boodahki,i'd rather be alone,i'd rather be alone,1doDUiGBnzCvo5VCUq59L1,0.395,0.204,5,-13.485,1,0.0283,0.151,0.128,0.121,81.888,142941,4
Hashir,Paradise,Paradise,2v6ea8WZ0VzWXEbA3f4vrU,0.63,0.32,4,-15.503,1,0.0704,0.478,0.0894,0.233,166.058,166054,4
Johan Lenox,No One Gets Me (feat. RMR),No One Gets Me (feat. RMR),0SBnx2rzXbh1Gt2WmmMX0g,0.533,0.592,0,-6.938,1,0.0516,1.03e-05,0.126,0.161,152.023,202253,4
Feyesal,please never fall in love again,please never fall in love again,1pVvfmQB9OB8FqCbp2UGA8,0.713,0.345,0,-8.55,0,0.0374,0.00252,0.393,0.347,107.637,157643,4
